x_coord,y_coord,z_coord,x_speed,y_speed,z_speed
-0.3516823403236467,1.2286727709614407,0.49642094414344295,"[-0.24855944409722022, -0.14670537567440659, -0.7473406512992241]"

-0.46068210850696273,1.3061152948014225,0.8961680912010329,"[-0.9794036394079358, 0.27682370866190414, 0.21469053890806358]"

-0.553346353338986,1.2612862533535532,0.8628189384308043,"[-1.0464500274202135, -0.09826900384007818, -0.011077734463120414]"

-0.5144916580531446,1.289287387573068,0.8546158642519931,"[-0.24134200646200127, 0.09674415187644984, -0.07977180238988885]"

-0.57980746873395,1.3479255855541592,0.8234469759268405,"[-0.8616994212238738, 0.5971700768922616, -0.04691350649495592]"

-0.6454604606772313,1.2964228904340802,0.7089655914837405,"[-0.9478696775436605, -0.1835435114404686, -0.5338036979253551]"

-0.6564311973596666,1.3422536950226611,0.5988772786250823,"[-0.5611752560789995, 0.2499586763927728, -0.9548838380594802]"

-0.5994729749366812,1.349399216274941,0.6954793060363863,"[0.10632047240031335, 0.21085256457163584, -0.43285804293823343]"

-0.6089718696740195,1.3822614348828328,0.6861999832900084,"[-0.022608646720975338, 0.4008725800881815, -0.3923111460100778]"

-0.6247262976194602,1.3669030753286286,0.6926434751111736,"[-0.2039605169706506, 0.15766979586178265, -0.2675021000015981]"

-0.6045723971664079,1.3175579267064095,0.594616567012581,"[0.1537081904644927, -0.4103630619427402, -0.5934557709412209]"

-0.5163581383141734,1.318735630696061,0.6316608067873857,"[0.8579960066843475, -0.1731363849352133, -0.3842227620469569]"

-0.45814767170675263,1.2998490740975517,0.6164442446957152,"[0.9218458754724334, -0.2677813877001587, -0.3299823119277306]"

-0.48835485121081845,1.2472416296952338,0.5966420221170808,"[0.10219871562218064, -0.35763021405564976, -0.25215439766236003]"

-0.4939160285647686,1.20076849467915,0.592881530602735,"[0.020304391416654192, -0.5817744296469621, -0.17280287543070108]"

-0.3719666749781866,1.1760027305478704,0.7852390411888314,"[0.9914373480290182, -0.42873823212106343, 0.5282286621901074]"

-0.34382859288822787,1.2285395613956689,1.0042676235190129,"[0.8012189942020209, -0.029611985291864536, 1.2138876754017973]"

-0.40268783790260165,1.2289710154218971,1.0497973773329583,"[-0.00987743332261417, 0.03924501742847693, 1.2427523865516132]"

-0.3888183696509256,1.2994793914272371,0.9907208051868454,"[0.17720157832676225, 0.5936268132217278, 0.6642491512053033]"

-0.4588601333631845,1.3841843909363065,1.071269087266557,"[-0.4925272663152515, 0.8531833243817817, 0.8996595068143288]"

-0.40239144564467305,1.497593981003088,1.2504024198077979,"[0.20613105026706394, 1.3783614814143046, 1.3968529648321568]"

-0.3781436832354236,1.5304968093780666,1.4391776916773524,"[0.22830657165542012, 1.1303704283426015, 2.0648318581833736]"

-0.36354333728976196,1.4758013506416188,1.3842084004380133,"[0.3625380650736027, 0.3412453724601022, 1.3140641409286873]"

-0.3304511079503609,1.444609904611928,1.4011652842948814,"[0.5502239964500244, -0.09451498545559106, 1.0687530027825713]"

-0.25810690614633713,1.4410086949062046,1.4529942170748933,"[0.8940913181788064, -0.055926471399081634, 1.132025328295014]"

-0.2533528297442408,1.5000448793469938,1.490724745718402,"[0.47650802775341616, 0.42310538387755675, 1.062081398007443]"

-0.23888077145526262,1.527168095643379,1.5256580460791376,"[0.42835223068700545, 0.4534641136694317, 0.9964220080543212]"

-0.2882607360317753,1.5225933184373992,1.5106875263385187,"[-0.13092025719510755, 0.234739685841112, 0.8485469499129064]"

-0.2737924532255884,1.429750440976796,1.4303145469386653,"[0.11405064573250856, -0.4379369040574482, 0.24465921342018407]"

-0.3279280410702911,1.4410653302633443,1.4344796917886942,"[-0.4421199088779163, -0.21212726447482233, 0.2603266510665235]"

-0.3591078993397713,1.4658720438973118,1.3891090522253442,"[-0.4268348257985654, 0.0011521659315893852, -0.051524916202506175]"

-0.45146128688559023,1.4952115722635084,1.3753494355288955,"[-1.0587742287165993, 0.25949026547376447, -0.02426909705911152]"

-0.5374359240318557,1.4200117165024737,1.243946930692821,"[-1.2052763459611644, -0.4286010006306643, -0.7123283729856527]"

-0.5227993085899377,1.4167893581920528,1.2282712174047419,"[-0.524736859307311, -0.3483985884650405, -0.7331542026492176]"

-0.5473931133516137,1.4655764904807773,1.141315910497526,"[-0.4696675211947014, 0.1490170814022788, -1.1342765883165509]"

-0.5400836836405297,1.4504879310536252,1.0347734861923843,"[-0.22967428670286597, -0.07399213840332537, -1.222760692995201]"

-0.5026977272563847,1.5544818734125425,0.9901863900047511,"[0.2813399348231204, 0.5740935714797907, -1.1820983062799395]"

-0.4679285357731519,1.4914097294401627,1.0791460571637221,"[0.4557110749022695, -0.09435283391163467, -0.4702711413638402]"

-0.42816788953055507,1.3997359861280458,0.9512206403236465,"[0.624300368148888, -0.8278204625760643, -1.0195649876112556]"

-0.5095133978800427,1.3440658540241974,0.8421312030854448,"[-0.24003330978927706, -0.9345534413973657, -1.2283027717012063]"

-0.4768580268911837,1.3529330386818494,0.8213510189103467,"[0.19883637517434716, -0.4806219148267555, -1.102053588103004]"

-0.46655209525018604,1.3128130855595244,0.8447333895509818,"[0.16327271164216633, -0.6371856847938006, -0.7952238166021073]"

-0.4484904508336033,1.2753028364971435,0.800630612419822,"[0.236897087912855, -0.630507758894932, -0.8585675545432122]"

-0.4453509432462802,1.2824473591383294,0.7306926804644343,"[0.08093882815773908, -0.03677570606256697, -0.9488742540369234]"

-0.4666672403300773,1.276116140416928,0.670039840707266,"[-0.05943735323367245, -0.057255573642328375, -1.0184239295753583]"

-0.35090929979559865,1.2633217312473581,0.8193872969265354,"[0.6414768469624987, -0.10752461718750769, -0.17037442424573462]"

-0.2609290658170267,1.2564186658415661,0.8439274393699749,"[1.0916665655471374, -0.05373736709578576, -0.11531878527843696]"

-0.2326862585147524,1.2077277610823243,0.9034943172582337,"[0.5272084154409707, -0.4513321255119218, 0.09205883677367274]"

-0.2687443173738085,1.3123084882064897,0.893656877116377,"[0.07319909379109574, 0.2763921596274264, 0.028713361770143955]"

-0.2822630904586928,1.2621542700384996,0.9800594976182768,"[-0.16713062880131338, -0.06428976874666127, 0.45348679146614157]"

-0.27368344091445723,1.2602259768528814,1.0159110767559991,"[-0.04839235154980761, -0.05308371146920699, 0.5124091636893127]"

-0.26174884060362247,1.2955747953675636,0.985023406350028,"[0.17596650641925343, 0.4408283526004234, 0.289941615760824]"

-0.2088035303127568,1.3258956132469277,1.0287209115391953,"[0.36956703996795703, 0.41933580457047437, 0.34129932039216526]"

-0.17531727499219993,1.2892965567749166,0.9935515252782415,"[0.47668062488749446, -0.03475684181365433, -0.020940859823325733]"

-0.2602067028349661,1.2808949732575412,0.9819247866730428,"[-0.4486412851561603, -0.0891849042226299, -0.03437499389414204]"

-0.2890776383583168,1.2371749757952022,1.0180752236095745,"[-0.503782021924289, -0.32280863370625584, 0.0860356532022245]"

-0.1992141264870572,1.2344158764990467,1.1340732271932412,"[0.4399410878971519, -0.1630726560881515, 0.5002740301722263]"

-0.1879508274888991,1.2181036698033791,1.1531750235142444,"[0.3616719432254776, -0.24691018790280372, 0.5302696566023535]"

-0.22952001606761863,1.3984163475185878,1.3446413626572917,"[-0.14550616241396924, 0.8629600254157097, 1.0348114983358896]"

-0.2740945221289895,1.398300324269262,1.1267648184781702,"[-0.39891323755623365, 0.6862305817884963, -0.021147049900913224]"

-0.35686529153155655,1.4637618590336774,1.0693223276940083,"[-1.0449715110701623, 1.049543631389838, -0.09885985861126612]"

-0.3847651073078257,1.6054224132267878,1.0042947581613426,"[-0.6970548732651709, 1.6076882253572284, -0.27554421298525833]"

-0.3867381337513884,1.6111124866610271,1.1575955073232675,"[-0.4741389113547368, 1.0863717788850198, 0.5228304143572022]"

-0.38446033137851493,1.5665795591787683,1.0804262269286995,"[-0.24664588750372168, 0.44937489083815696, -0.05823727981924536]"

